method,question,ground_truth,predicted,keywords,em,precision,recall,f1,answer_time_sec
gmm,How did Cinderella reach her happy ending?,"The prince found Cinderella by fitting the glass slipper on her foot, recognized her, and they married.","Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved.",prince|slipper|married,1,0.0788,0.7647,0.1429,0.047
gmm,Who helped Cinderella attend the ball?,Her fairy godmother appeared and transformed a pumpkin into a coach and her worn clothes into a beautiful gown.,"Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella.",fairy|godmother,1,0.1152,1.0000,0.2065,0.048
gmm,What did Cinderella leave behind at the ball?,Cinderella left behind one glass slipper when she fled before midnight.,"Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella.",glass|slipper,1,0.0667,1.0000,0.1250,0.048
gmm,Why did Cinderella have to leave the ball before midnight?,The magic from the fairy godmother would end at midnight.,"Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella.",magic|midnight,1,0.0485,0.8000,0.0914,0.032
gmm,How did the prince find Cinderella after the ball?,The prince searched the kingdom for the woman whose foot fit the glass slipper.,"She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella.",searched|slipper|fit,1,0.0848,1.0000,0.1564,0.047
gmm,What does the fairy godmother symbolize in the story?,The fairy godmother symbolizes hope.,"Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved.",hope,1,0.0303,1.0000,0.0588,0.048
gmm,What is the glass slipper's role in the story?,The lost slipper is the key piece of evidence that allows the prince to identify Cinderella.,"She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers.",evidence|identify,1,0.0970,1.0000,0.1768,0.048
gmm,Who forced Cinderella to work day and night?,Her cruel stepmother and two jealous stepsisters forced her to work.,"Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella.",stepmother|stepsisters,1,0.0667,1.0000,0.1250,0.045
gmm,What themes does the Cinderella story illustrate?,"The story illustrates transformation, perseverance, and recognition.","Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved.",transformation|perseverance,1,0.0364,0.8571,0.0698,0.048
gmm,What was the pumpkin transformed into?,The fairy godmother transformed a pumpkin into a coach.,"Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved.",coach,1,0.0545,1.0000,0.1034,0.042
leiden,How did Cinderella reach her happy ending?,"The prince found Cinderella by fitting the glass slipper on her foot, recognized her, and they married.","Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved.",prince|slipper|married,1,0.0788,0.7647,0.1429,0.047
leiden,Who helped Cinderella attend the ball?,Her fairy godmother appeared and transformed a pumpkin into a coach and her worn clothes into a beautiful gown.,"Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella.",fairy|godmother,1,0.1152,1.0000,0.2065,0.042
leiden,What did Cinderella leave behind at the ball?,Cinderella left behind one glass slipper when she fled before midnight.,"Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella.",glass|slipper,1,0.0667,1.0000,0.1250,0.043
leiden,Why did Cinderella have to leave the ball before midnight?,The magic from the fairy godmother would end at midnight.,"Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella.",magic|midnight,1,0.0485,0.8000,0.0914,0.040
leiden,How did the prince find Cinderella after the ball?,The prince searched the kingdom for the woman whose foot fit the glass slipper.,"She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella.",searched|slipper|fit,1,0.0848,1.0000,0.1564,0.047
leiden,What does the fairy godmother symbolize in the story?,The fairy godmother symbolizes hope.,"Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved.",hope,1,0.0303,1.0000,0.0588,0.040
leiden,What is the glass slipper's role in the story?,The lost slipper is the key piece of evidence that allows the prince to identify Cinderella.,"She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers.",evidence|identify,1,0.0970,1.0000,0.1768,0.044
leiden,Who forced Cinderella to work day and night?,Her cruel stepmother and two jealous stepsisters forced her to work.,"Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella.",stepmother|stepsisters,1,0.0667,1.0000,0.1250,0.045
leiden,What themes does the Cinderella story illustrate?,"The story illustrates transformation, perseverance, and recognition.","Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved.",transformation|perseverance,1,0.0364,0.8571,0.0698,0.043
leiden,What was the pumpkin transformed into?,The fairy godmother transformed a pumpkin into a coach.,"Cinderella lived with her cruel stepmother and two jealous stepsisters, who forced her to work day and night When the royal ball was announced, Cinderella wished to go but was forbidden Her fairy godmother appeared and transformed a pumpkin into a coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers Cinderella married the prince and finally found her happy ending The story is often used to illustrate transformation, perseverance, and recognition In many retellings, the fairy godmother symbolizes hope, while the lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella She attended the ball and danced with the prince, but she had to leave before midnight, when the magic would end As she fled, one glass slipper was left behind The prince searched the kingdom for the woman whose foot fit the slipper When he came to Cinderella's house, the slipper fit her perfectly, and he recognized her as the one he loved.",coach,1,0.0545,1.0000,0.1034,0.039
