method,article_id,question_id,difficult,gold_label,predicted_index,correct,parsed,predicted_raw,tree_layers
agglomerative,62476,62476_Z8GFDCIZ_7,0,1,1,1,1,A,1
agglomerative,62476,62476_Z8GFDCIZ_8,1,4,3,0,1,C,1
agglomerative,62476,62476_Z8GFDCIZ_9,0,2,4,0,1,D,1
agglomerative,52845,52845_91NAQ9LY_1,1,3,3,1,1,C,1
agglomerative,52845,52845_91NAQ9LY_2,0,1,1,1,1,A,1
agglomerative,52845,52845_91NAQ9LY_3,0,3,3,1,1,C,1
agglomerative,52845,52845_91NAQ9LY_4,1,2,1,0,1,A,1
agglomerative,52845,52845_91NAQ9LY_5,1,4,4,1,1,D,1
agglomerative,52845,52845_91NAQ9LY_6,1,2,2,1,1,B,1
agglomerative,52845,52845_91NAQ9LY_7,1,1,1,1,1,A,1
agglomerative,52845,52845_91NAQ9LY_8,1,2,3,0,1,C,1
agglomerative,30029,30029_XQTTOPHP_1,1,2,3,0,1,C,1
agglomerative,30029,30029_XQTTOPHP_2,0,1,1,1,1,A,1
agglomerative,30029,30029_XQTTOPHP_3,0,3,3,1,1,C,1
agglomerative,30029,30029_XQTTOPHP_4,1,3,3,1,1,C,1
agglomerative,30029,30029_XQTTOPHP_5,1,4,2,0,1,B,1
agglomerative,30029,30029_XQTTOPHP_6,0,2,2,1,1,B,1
agglomerative,30029,30029_XQTTOPHP_7,0,1,1,1,1,A,1
agglomerative,30029,30029_XQTTOPHP_8,0,3,3,1,1,C,1
agglomerative,30029,30029_XQTTOPHP_9,1,3,2,0,1,B,1
agglomerative,30029,30029_XQTTOPHP_10,0,1,1,1,1,A,1
agglomerative,62139,62139_V60QHFBZ_1,1,3,4,0,1,D,1
agglomerative,62139,62139_V60QHFBZ_2,1,2,2,1,1,B,1
agglomerative,62139,62139_V60QHFBZ_3,1,1,2,0,1,B,1
agglomerative,62139,62139_V60QHFBZ_4,1,3,3,1,1,C,1
agglomerative,62139,62139_V60QHFBZ_5,1,4,1,0,1,A,1
agglomerative,62139,62139_V60QHFBZ_6,1,3,3,1,1,C,1
agglomerative,62139,62139_V60QHFBZ_7,1,3,4,0,1,D,1
agglomerative,62139,62139_V60QHFBZ_8,0,3,2,0,1,B,1
agglomerative,62139,62139_V60QHFBZ_9,1,3,3,1,1,C,1
agglomerative,63523,63523_3B46MIE8_1,0,3,1,0,1,A,1
agglomerative,63523,63523_3B46MIE8_2,0,2,2,1,1,B,1
agglomerative,63523,63523_3B46MIE8_3,0,1,4,0,1,D,1
agglomerative,63523,63523_3B46MIE8_4,0,3,3,1,1,C,1
agglomerative,63523,63523_3B46MIE8_5,1,4,4,1,1,D,1
agglomerative,63523,63523_3B46MIE8_6,0,4,4,1,1,D,1
agglomerative,63523,63523_3B46MIE8_7,0,4,4,1,1,D,1
agglomerative,63523,63523_3B46MIE8_8,1,4,2,0,1,B,1
agglomerative,63523,63523_3B46MIE8_9,1,4,3,0,1,C,1
agglomerative,63523,63523_3B46MIE8_10,0,1,1,1,1,A,1
agglomerative,63401,63401_TBZWTSB7_1,0,4,2,0,1,B,1
agglomerative,63401,63401_TBZWTSB7_2,0,3,3,1,1,C,1
agglomerative,63401,63401_TBZWTSB7_3,1,4,2,0,1,B,1
agglomerative,63401,63401_TBZWTSB7_4,1,1,4,0,1,D,1
agglomerative,63401,63401_TBZWTSB7_5,1,4,2,0,1,B,1
agglomerative,63401,63401_TBZWTSB7_6,1,1,2,0,1,B,1
agglomerative,63401,63401_TBZWTSB7_7,0,1,1,1,1,A,1
agglomerative,63401,63401_TBZWTSB7_8,0,1,1,1,1,A,1
agglomerative,63401,63401_TBZWTSB7_9,1,4,4,1,1,D,1
agglomerative,62476,62476_0WTVH8V9_1,1,3,2,0,1,B,1
agglomerative,62476,62476_0WTVH8V9_2,1,3,2,0,1,B,1
agglomerative,62476,62476_0WTVH8V9_3,1,2,4,0,1,D,1
agglomerative,62476,62476_0WTVH8V9_4,1,3,3,1,1,C,1
agglomerative,62476,62476_0WTVH8V9_5,0,1,1,1,1,A,1
agglomerative,62476,62476_0WTVH8V9_6,1,4,4,1,1,D,1
agglomerative,62476,62476_0WTVH8V9_7,1,2,2,1,1,B,1
agglomerative,62476,62476_0WTVH8V9_8,0,4,4,1,1,D,1
agglomerative,62476,62476_0WTVH8V9_9,1,2,2,1,1,B,1
agglomerative,62476,62476_0WTVH8V9_10,1,1,1,1,1,A,1
agglomerative,63041,63041_SC73PXBG_1,1,2,2,1,1,B,0
agglomerative,63041,63041_SC73PXBG_2,1,1,1,1,1,A,0
agglomerative,63041,63041_SC73PXBG_3,1,2,2,1,1,B,0
agglomerative,63041,63041_SC73PXBG_4,1,4,2,0,1,B,0
agglomerative,63041,63041_SC73PXBG_5,1,1,1,1,1,A,0
agglomerative,63041,63041_SC73PXBG_6,1,1,1,1,1,A,0
agglomerative,63041,63041_SC73PXBG_7,1,3,4,0,1,D,0
agglomerative,63041,63041_SC73PXBG_8,1,2,2,1,1,B,0
agglomerative,63041,63041_SC73PXBG_9,1,3,3,1,1,C,0
agglomerative,30035,30035_SLGX7NNR_1,1,4,4,1,1,D,0
agglomerative,30035,30035_SLGX7NNR_2,1,2,2,1,1,B,0
agglomerative,30035,30035_SLGX7NNR_3,0,4,3,0,1,C,0
agglomerative,30035,30035_SLGX7NNR_4,0,3,3,1,1,C,0
agglomerative,30035,30035_SLGX7NNR_5,1,4,4,1,1,D,0
agglomerative,30035,30035_SLGX7NNR_6,1,3,4,0,1,D,0
agglomerative,30035,30035_SLGX7NNR_7,1,4,2,0,1,B,0
agglomerative,30035,30035_SLGX7NNR_8,0,2,2,1,1,B,0
agglomerative,61285,61285_XLEJCW65_1,1,3,3,1,1,C,1
agglomerative,61285,61285_XLEJCW65_2,1,4,2,0,1,B,1
agglomerative,61285,61285_XLEJCW65_3,0,2,2,1,1,B,1
agglomerative,61285,61285_XLEJCW65_4,1,1,1,1,1,A,1
agglomerative,61285,61285_XLEJCW65_5,1,2,2,1,1,B,1
agglomerative,61285,61285_XLEJCW65_6,0,4,4,1,1,D,1
agglomerative,61285,61285_XLEJCW65_7,0,4,2,0,1,B,1
agglomerative,62261,62261_SJZYUNBJ_1,0,4,4,1,1,D,1
agglomerative,62261,62261_SJZYUNBJ_2,0,4,4,1,1,D,1
agglomerative,62261,62261_SJZYUNBJ_3,1,2,2,1,1,B,1
agglomerative,62261,62261_SJZYUNBJ_4,1,1,1,1,1,A,1
agglomerative,62261,62261_SJZYUNBJ_5,1,1,1,1,1,A,1
agglomerative,62261,62261_SJZYUNBJ_6,0,1,1,1,1,A,1
agglomerative,62261,62261_SJZYUNBJ_7,1,4,4,1,1,D,1
agglomerative,62261,62261_SJZYUNBJ_8,0,1,2,0,1,B,1
agglomerative,62314,62314_ARZ8DZS1_1,1,2,3,0,1,C,1
agglomerative,62314,62314_ARZ8DZS1_2,1,2,2,1,1,B,1
agglomerative,62314,62314_ARZ8DZS1_3,1,4,2,0,1,B,1
agglomerative,62314,62314_ARZ8DZS1_4,1,1,2,0,1,B,1
agglomerative,62314,62314_ARZ8DZS1_5,1,3,3,1,1,C,1
agglomerative,62314,62314_ARZ8DZS1_6,1,4,4,1,1,D,1
agglomerative,62314,62314_ARZ8DZS1_7,1,3,2,0,1,B,1
agglomerative,62314,62314_ARZ8DZS1_8,1,3,3,1,1,C,1
agglomerative,62314,62314_ARZ8DZS1_9,1,2,2,1,1,B,1
agglomerative,62314,62314_ARZ8DZS1_10,1,1,3,0,1,C,1
agglomerative,61430,61430_X9N4VIUX_1,1,1,3,0,1,C,1
agglomerative,61430,61430_X9N4VIUX_2,1,1,1,1,1,A,1
agglomerative,61430,61430_X9N4VIUX_3,1,4,4,1,1,D,1
agglomerative,61430,61430_X9N4VIUX_4,1,4,2,0,1,B,1
agglomerative,61430,61430_X9N4VIUX_5,0,3,3,1,1,C,1
agglomerative,61430,61430_X9N4VIUX_6,1,2,2,1,1,B,1
agglomerative,61430,61430_X9N4VIUX_7,1,1,4,0,1,D,1
agglomerative,61430,61430_X9N4VIUX_8,1,2,2,1,1,B,1
agglomerative,63041,63041_TFO74FFD_1,0,2,2,1,1,B,0
agglomerative,63041,63041_TFO74FFD_2,1,1,1,1,1,A,0
agglomerative,63041,63041_TFO74FFD_3,1,1,1,1,1,A,0
agglomerative,63041,63041_TFO74FFD_4,1,4,4,1,1,D,0
agglomerative,63041,63041_TFO74FFD_5,0,1,1,1,1,A,0
agglomerative,63041,63041_TFO74FFD_6,1,3,2,0,1,B,0
agglomerative,63041,63041_TFO74FFD_7,0,4,4,1,1,D,0
agglomerative,63041,63041_TFO74FFD_8,1,4,2,0,1,B,0
agglomerative,63041,63041_TFO74FFD_9,1,2,2,1,1,B,0
agglomerative,63041,63041_TFO74FFD_10,0,4,4,1,1,D,0
agglomerative,30035,30035_C0HFCNPI_1,1,4,4,1,1,D,0
agglomerative,30035,30035_C0HFCNPI_2,0,2,2,1,1,B,0
agglomerative,30035,30035_C0HFCNPI_3,1,2,2,1,1,B,0
agglomerative,30035,30035_C0HFCNPI_4,1,4,4,1,1,D,0
agglomerative,30035,30035_C0HFCNPI_5,1,2,1,0,1,A,0
agglomerative,30035,30035_C0HFCNPI_6,1,3,3,1,1,C,0
agglomerative,30035,30035_C0HFCNPI_7,1,1,1,1,1,A,0
agglomerative,30035,30035_C0HFCNPI_8,1,3,1,0,1,A,0
agglomerative,30035,30035_C0HFCNPI_9,1,3,3,1,1,C,0
agglomerative,30035,30035_C0HFCNPI_10,0,1,1,1,1,A,0
agglomerative,61285,61285_D8AIH84L_1,0,2,2,1,1,B,1
agglomerative,61285,61285_D8AIH84L_2,0,3,3,1,1,C,1
agglomerative,61285,61285_D8AIH84L_3,1,2,2,1,1,B,1
agglomerative,61285,61285_D8AIH84L_4,1,4,4,1,1,D,1
agglomerative,61285,61285_D8AIH84L_5,0,1,1,1,1,A,1
agglomerative,61285,61285_D8AIH84L_6,1,2,4,0,1,D,1
agglomerative,61285,61285_D8AIH84L_7,0,4,4,1,1,D,1
agglomerative,61285,61285_D8AIH84L_8,1,3,3,1,1,C,1
agglomerative,61285,61285_D8AIH84L_9,1,4,4,1,1,D,1
agglomerative,61285,61285_D8AIH84L_10,0,4,4,1,1,D,1
agglomerative,62261,62261_99Z0HIK2_1,0,2,2,1,1,B,1
agglomerative,62261,62261_99Z0HIK2_2,1,2,2,1,1,B,1
agglomerative,62261,62261_99Z0HIK2_3,1,3,4,0,1,D,1
agglomerative,62261,62261_99Z0HIK2_4,1,3,4,0,1,D,1
agglomerative,62261,62261_99Z0HIK2_5,0,1,1,1,1,A,1
agglomerative,62261,62261_99Z0HIK2_6,1,1,4,0,1,D,1
agglomerative,62261,62261_99Z0HIK2_7,1,3,3,1,1,C,1
agglomerative,62261,62261_99Z0HIK2_8,0,3,2,0,1,B,1
agglomerative,62261,62261_99Z0HIK2_9,0,1,1,1,1,A,1
agglomerative,62261,62261_99Z0HIK2_10,1,1,1,1,1,A,1
agglomerative,62314,62314_QZHV11CY_1,1,3,3,1,1,C,1
agglomerative,62314,62314_QZHV11CY_2,1,2,2,1,1,B,1
agglomerative,62314,62314_QZHV11CY_3,0,3,3,1,1,C,1
agglomerative,62314,62314_QZHV11CY_4,1,1,1,1,1,A,1
agglomerative,62314,62314_QZHV11CY_5,0,4,4,1,1,D,1
agglomerative,62314,62314_QZHV11CY_6,1,3,3,1,1,C,1
agglomerative,62314,62314_QZHV11CY_7,1,3,4,0,1,D,1
agglomerative,62314,62314_QZHV11CY_8,1,1,1,1,1,A,1
agglomerative,62314,62314_QZHV11CY_9,0,1,1,1,1,A,1
agglomerative,62314,62314_QZHV11CY_10,0,2,1,0,1,A,1
agglomerative,61430,61430_R8T5MKW8_1,0,4,4,1,1,D,1
agglomerative,61430,61430_R8T5MKW8_2,1,1,1,1,1,A,1
agglomerative,61430,61430_R8T5MKW8_3,0,3,3,1,1,C,1
agglomerative,61430,61430_R8T5MKW8_4,1,2,2,1,1,B,1
agglomerative,61430,61430_R8T5MKW8_5,0,3,3,1,1,C,1
agglomerative,61430,61430_R8T5MKW8_6,1,4,4,1,1,D,1
agglomerative,61430,61430_R8T5MKW8_7,0,3,1,0,1,A,1
agglomerative,61430,61430_R8T5MKW8_8,1,3,3,1,1,C,1
agglomerative,61430,61430_R8T5MKW8_9,0,1,1,1,1,A,1
agglomerative,61430,61430_R8T5MKW8_10,0,4,4,1,1,D,1
agglomerative,52855,52855_MV65I88C_1,0,3,4,0,1,D,1
agglomerative,52855,52855_MV65I88C_2,1,1,3,0,1,C,1
agglomerative,52855,52855_MV65I88C_3,1,1,1,1,1,A,1
agglomerative,52855,52855_MV65I88C_4,1,1,1,1,1,A,1
agglomerative,52855,52855_MV65I88C_5,0,1,4,0,1,D,1
agglomerative,52855,52855_MV65I88C_6,1,2,1,0,1,A,1
agglomerative,52855,52855_MV65I88C_7,1,4,1,0,1,A,1
agglomerative,52855,52855_MV65I88C_8,1,4,3,0,1,C,1
agglomerative,52855,52855_MV65I88C_9,1,4,4,1,1,D,1
agglomerative,62085,62085_C1SL2YBE_1,0,4,4,1,1,D,1
agglomerative,62085,62085_C1SL2YBE_2,1,3,3,1,1,C,1
agglomerative,62085,62085_C1SL2YBE_3,1,4,4,1,1,D,1
agglomerative,62085,62085_C1SL2YBE_4,1,4,2,0,1,B,1
agglomerative,62085,62085_C1SL2YBE_5,0,2,2,1,1,B,1
agglomerative,62085,62085_C1SL2YBE_6,1,1,1,1,1,A,1
agglomerative,62085,62085_C1SL2YBE_7,1,2,2,1,1,B,1
agglomerative,62085,62085_C1SL2YBE_8,1,1,1,1,1,A,1
agglomerative,62085,62085_C1SL2YBE_9,0,2,2,1,1,B,1
agglomerative,62498,62498_D60CXKRF_1,0,3,3,1,1,C,1
agglomerative,62498,62498_D60CXKRF_2,1,1,3,0,1,C,1
agglomerative,62498,62498_D60CXKRF_3,1,2,2,1,1,B,1
agglomerative,62498,62498_D60CXKRF_4,0,3,3,1,1,C,1
agglomerative,62498,62498_D60CXKRF_5,0,4,4,1,1,D,1
agglomerative,62498,62498_D60CXKRF_6,1,4,4,1,1,D,1
agglomerative,62498,62498_D60CXKRF_7,0,4,4,1,1,D,1
agglomerative,62498,62498_D60CXKRF_8,1,3,3,1,1,C,1
agglomerative,62498,62498_D60CXKRF_9,1,2,2,1,1,B,1
agglomerative,61119,61119_BNH82NAU_1,1,2,3,0,1,C,1
agglomerative,61119,61119_BNH82NAU_2,0,2,2,1,1,B,1
agglomerative,61119,61119_BNH82NAU_3,1,4,1,0,1,A,1
agglomerative,61119,61119_BNH82NAU_4,1,1,2,0,1,B,1
agglomerative,61119,61119_BNH82NAU_5,1,1,3,0,1,C,1
agglomerative,61119,61119_BNH82NAU_6,1,3,3,1,1,C,1
agglomerative,61119,61119_BNH82NAU_7,0,1,1,1,1,A,1
agglomerative,63616,63616_MQ1O9T2Q_1,0,4,4,1,1,D,1
agglomerative,63616,63616_MQ1O9T2Q_2,1,4,3,0,1,C,1
agglomerative,63616,63616_MQ1O9T2Q_3,1,3,2,0,1,B,1
agglomerative,63616,63616_MQ1O9T2Q_4,1,4,4,1,1,D,1
agglomerative,63616,63616_MQ1O9T2Q_5,1,1,1,1,1,A,1
agglomerative,63616,63616_MQ1O9T2Q_6,0,4,4,1,1,D,1
agglomerative,61467,61467_TASABS87_1,1,2,2,1,1,B,1
agglomerative,61467,61467_TASABS87_2,1,2,3,0,1,C,1
agglomerative,61467,61467_TASABS87_3,0,2,2,1,1,B,1
agglomerative,61467,61467_TASABS87_4,0,4,4,1,1,D,1
agglomerative,61467,61467_TASABS87_5,1,4,4,1,1,D,1
agglomerative,61467,61467_TASABS87_6,1,1,3,0,1,C,1
agglomerative,61467,61467_TASABS87_7,1,4,3,0,1,C,1
agglomerative,61467,61467_TASABS87_8,0,2,2,1,1,B,1
agglomerative,61467,61467_TASABS87_9,1,4,1,0,1,A,1
agglomerative,52855,52855_3OS4Y95O_1,1,4,2,0,1,B,1
agglomerative,52855,52855_3OS4Y95O_2,0,4,4,1,1,D,1
agglomerative,52855,52855_3OS4Y95O_3,1,3,1,0,1,A,1
agglomerative,52855,52855_3OS4Y95O_4,1,1,2,0,1,B,1
agglomerative,52855,52855_3OS4Y95O_5,1,1,4,0,1,D,1
agglomerative,52855,52855_3OS4Y95O_6,0,4,2,0,1,B,1
agglomerative,52855,52855_3OS4Y95O_7,1,2,2,1,1,B,1
agglomerative,52855,52855_3OS4Y95O_8,1,2,2,1,1,B,1
agglomerative,52855,52855_3OS4Y95O_9,1,2,2,1,1,B,1
agglomerative,52855,52855_3OS4Y95O_10,1,1,4,0,1,D,1
agglomerative,62085,62085_OTOKKIL9_1,0,1,1,1,1,A,1
agglomerative,62085,62085_OTOKKIL9_2,1,4,1,0,1,A,1
agglomerative,62085,62085_OTOKKIL9_3,1,3,3,1,1,C,1
agglomerative,62085,62085_OTOKKIL9_4,0,2,2,1,1,B,1
agglomerative,62085,62085_OTOKKIL9_5,1,4,3,0,1,C,1
agglomerative,62085,62085_OTOKKIL9_6,1,1,1,1,1,A,1
agglomerative,62085,62085_OTOKKIL9_7,0,1,3,0,1,C,1
agglomerative,62085,62085_OTOKKIL9_8,1,1,4,0,1,D,1
agglomerative,62498,62498_9BZIZ3SE_1,0,3,1,0,1,A,1
agglomerative,62498,62498_9BZIZ3SE_2,1,2,2,1,1,B,1
agglomerative,62498,62498_9BZIZ3SE_3,1,2,2,1,1,B,1
agglomerative,62498,62498_9BZIZ3SE_4,0,2,2,1,1,B,1
agglomerative,62498,62498_9BZIZ3SE_5,0,2,2,1,1,B,1
agglomerative,62498,62498_9BZIZ3SE_6,1,3,3,1,1,C,1
agglomerative,62498,62498_9BZIZ3SE_7,1,1,4,0,1,D,1
agglomerative,62498,62498_9BZIZ3SE_8,0,4,4,1,1,D,1
agglomerative,62498,62498_9BZIZ3SE_9,0,3,3,1,1,C,1
agglomerative,61119,61119_27E8WDJC_1,1,1,1,1,1,A,1
agglomerative,61119,61119_27E8WDJC_2,0,1,1,1,1,A,1
agglomerative,61119,61119_27E8WDJC_3,1,4,1,0,1,A,1
agglomerative,61119,61119_27E8WDJC_4,1,1,1,1,1,A,1
agglomerative,61119,61119_27E8WDJC_5,0,4,4,1,1,D,1
agglomerative,61119,61119_27E8WDJC_6,1,1,1,1,1,A,1
agglomerative,61119,61119_27E8WDJC_7,1,3,3,1,1,C,1
agglomerative,61119,61119_27E8WDJC_8,0,4,4,1,1,D,1
agglomerative,61119,61119_27E8WDJC_9,1,4,4,1,1,D,1
agglomerative,63616,63616_AZTRNB8D_1,0,4,3,0,1,C,1
agglomerative,63616,63616_AZTRNB8D_2,1,4,3,0,1,C,1
agglomerative,63616,63616_AZTRNB8D_3,1,2,2,1,1,B,1
agglomerative,63616,63616_AZTRNB8D_4,1,4,4,1,1,D,1
agglomerative,63616,63616_AZTRNB8D_5,1,2,3,0,1,C,1
agglomerative,63616,63616_AZTRNB8D_6,0,3,3,1,1,C,1
agglomerative,63616,63616_AZTRNB8D_7,1,1,1,1,1,A,1
agglomerative,63616,63616_AZTRNB8D_8,0,1,3,0,1,C,1
agglomerative,63616,63616_AZTRNB8D_9,1,3,3,1,1,C,1
agglomerative,61467,61467_S2P1EICS_1,1,1,1,1,1,A,1
agglomerative,61467,61467_S2P1EICS_2,1,1,1,1,1,A,1
agglomerative,61467,61467_S2P1EICS_3,1,2,2,1,1,B,1
agglomerative,61467,61467_S2P1EICS_4,1,1,1,1,1,A,1
agglomerative,61467,61467_S2P1EICS_5,0,2,2,1,1,B,1
agglomerative,61467,61467_S2P1EICS_6,0,2,2,1,1,B,1
agglomerative,61467,61467_S2P1EICS_7,0,1,1,1,1,A,1
agglomerative,61467,61467_S2P1EICS_8,1,3,3,1,1,C,1
agglomerative,61467,61467_S2P1EICS_9,1,1,1,1,1,A,1
agglomerative,60412,60412_XM0T4STT_1,1,4,2,0,1,B,1
agglomerative,60412,60412_XM0T4STT_2,0,2,2,1,1,B,1
agglomerative,60412,60412_XM0T4STT_3,0,1,3,0,1,C,1
agglomerative,60412,60412_XM0T4STT_4,1,1,1,1,1,A,1
agglomerative,60412,60412_XM0T4STT_5,1,3,3,1,1,C,1
agglomerative,60412,60412_XM0T4STT_6,1,1,3,0,1,C,1
agglomerative,60412,60412_XM0T4STT_7,1,2,4,0,1,D,1
agglomerative,63855,63855_F9FDT8EG_1,0,2,2,1,1,B,1
agglomerative,63855,63855_F9FDT8EG_2,1,4,3,0,1,C,1
agglomerative,63855,63855_F9FDT8EG_3,1,2,2,1,1,B,1
agglomerative,63855,63855_F9FDT8EG_4,0,2,2,1,1,B,1
agglomerative,63855,63855_F9FDT8EG_5,1,4,2,0,1,B,1
agglomerative,63855,63855_F9FDT8EG_6,0,2,2,1,1,B,1
agglomerative,63855,63855_F9FDT8EG_7,1,2,2,1,1,B,1
agglomerative,63855,63855_F9FDT8EG_8,1,3,2,0,1,B,1
agglomerative,63855,63855_F9FDT8EG_9,1,1,1,1,1,A,1
agglomerative,63633,63633_TE8SMQXZ_1,1,4,3,0,1,C,1
agglomerative,63633,63633_TE8SMQXZ_2,1,1,4,0,1,D,1
agglomerative,63633,63633_TE8SMQXZ_3,1,3,3,1,1,C,1
agglomerative,63633,63633_TE8SMQXZ_4,1,2,2,1,1,B,1
agglomerative,63633,63633_TE8SMQXZ_5,0,3,3,1,1,C,1
agglomerative,63633,63633_TE8SMQXZ_6,0,4,4,1,1,D,1
agglomerative,63633,63633_TE8SMQXZ_7,1,4,4,1,1,D,1
agglomerative,63633,63633_TE8SMQXZ_8,1,1,4,0,1,D,1
agglomerative,63633,63633_TE8SMQXZ_9,1,3,3,1,1,C,1
agglomerative,63473,63473_IMAZR7FI_1,1,4,2,0,1,B,1
agglomerative,63473,63473_IMAZR7FI_2,0,4,4,1,1,D,1
agglomerative,63473,63473_IMAZR7FI_3,1,2,4,0,1,D,1
agglomerative,63473,63473_IMAZR7FI_4,1,2,2,1,1,B,1
agglomerative,63473,63473_IMAZR7FI_5,0,3,3,1,1,C,1
agglomerative,63473,63473_IMAZR7FI_6,0,1,1,1,1,A,1
agglomerative,61434,61434_C4DV5MOT_1,1,2,3,0,1,C,1
agglomerative,61434,61434_C4DV5MOT_2,1,1,4,0,1,D,1
agglomerative,61434,61434_C4DV5MOT_3,0,2,2,1,1,B,1
agglomerative,61434,61434_C4DV5MOT_4,1,1,1,1,1,A,1
agglomerative,61434,61434_C4DV5MOT_5,1,2,3,0,1,C,1
agglomerative,61434,61434_C4DV5MOT_6,1,3,1,0,1,A,1
agglomerative,61434,61434_C4DV5MOT_7,1,3,1,0,1,A,1
agglomerative,61434,61434_C4DV5MOT_8,1,1,2,0,1,B,1
agglomerative,63150,63150_2I9H6MLD_1,1,2,3,0,1,C,1
agglomerative,63150,63150_2I9H6MLD_2,0,4,2,0,1,B,1
agglomerative,63150,63150_2I9H6MLD_3,1,4,4,1,1,D,1
agglomerative,63150,63150_2I9H6MLD_4,1,2,3,0,1,C,1
agglomerative,63150,63150_2I9H6MLD_5,0,4,4,1,1,D,1
agglomerative,63150,63150_2I9H6MLD_6,0,4,4,1,1,D,1
agglomerative,63150,63150_2I9H6MLD_7,0,3,3,1,1,C,1
agglomerative,63150,63150_2I9H6MLD_8,1,4,2,0,1,B,1
agglomerative,63645,63645_THY3SLLH_1,1,3,1,0,1,A,1
agglomerative,63645,63645_THY3SLLH_2,1,2,2,1,1,B,1
agglomerative,63645,63645_THY3SLLH_3,1,2,4,0,1,D,1
agglomerative,63645,63645_THY3SLLH_4,1,2,1,0,1,A,1
agglomerative,63645,63645_THY3SLLH_5,1,1,1,1,1,A,1
agglomerative,63645,63645_THY3SLLH_6,1,2,2,1,1,B,1
agglomerative,63645,63645_THY3SLLH_7,1,4,4,1,1,D,1
agglomerative,63645,63645_THY3SLLH_8,1,4,2,0,1,B,1
agglomerative,61146,61146_1K27MAZN_1,0,3,4,0,1,D,1
