method,q_num,type,question,ground_truth,predicted,f1,rouge_l,contains_em,retrieval_hit
original,11,global,What recurring pattern do you see across the history of AI?,"AI history shows a recurring cycle of hype and disappointment. Periods of optimism and heavy funding are followed by unmet expectations and funding cuts. This happened with the initial promises of the 1950s-60s leading to the first winter, the expert systems boom leading to the second winter, and echoes in current concerns about large language models.","The recurring patterns in the history of AI involve significant periods of growth followed by setbacks, such as the First AI Winter and the Second AI Winter. During these periods, there was a decline in funding and public interest, leading to a reduction in AI research efforts. After each setback, however, there was a resurgence of activity, marked by advancements in areas like machine learning and the development of new technologies. The optimism and enthusiasm seen during the golden years of AI research, around 1956 to 1974, contrasted sharply with the pessimism and skepticism expressed during the subsequent AI winters. Despite these fluctuations, the foundational",0.3727,0.1863,0,0
original,12,global,Summarize the major milestones in AI from the 1950s to the present.,"Key milestones include the 1956 Dartmouth Conference founding the field, the Perceptron in 1958, ELIZA in 1966, expert systems like MYCIN in the 1970s-80s, Deep Blue defeating Kasparov in 1997, AlexNet winning ImageNet in 2012, AlphaGo in 2016, and the Transformer architecture in 2017 enabling modern large language models.","The history of artificial intelligence spans several decades, beginning with the formal establishment of the field at the Dartmouth Conference in 1956, where John McCarthy, Marvin Minsky, Nathaniel Rochester, and Claude Shannon collaborated to define the principles of AI. Key milestones include the development of the General Problem Solver by Newell and Simon in the 1950s, the creation of the Logic Theorist in 1956, and the publication of ""Perceptrons"" in 1969, which highlighted the limitations of single-layer neural networks. The field experienced significant setbacks during the first AI winter",0.2464,0.1594,1,0
original,13,global,What are the main challenges facing AI today?,"Current challenges include hallucination in language models, bias amplification from training data, enormous computational and environmental costs, questions about safety and alignment with human values, and the distant goal of artificial general intelligence.","Today, AI faces several significant challenges such as generating accurate information despite being prone to producing false statements, especially concerning historical events like the assassination of Archduke Franz Ferdinand. Additionally, there are ongoing debates regarding the ethical implications of AI, including issues related to bias, privacy, and accountability. Furthermore, the development of AI continues to face technical hurdles, such as the need for vast amounts of computing power and the challenge of ensuring that AI systems are safe and aligned with human values. These challenges underscore the ongoing efforts to improve AI technology while addressing its inherent limitations and potential risks.",0.1493,0.1194,1,0
original,14,global,How did the intellectual foundations laid before computers influence later AI?,Boole's algebra provided the framework for logical reasoning in computers. Babbage and Lovelace established the concept of programmable computation. Turing formalized computation theory and proposed the Turing Test. Shannon's information theory underpinned digital computing. All of these directly shaped how AI researchers approached building intelligent machines.,"The intellectual foundations laid by mathematicians and logicians before computers influenced later AI by providing a mathematical framework for logical reasoning and computational thinking, which were crucial for the development of algorithms and programming languages used in modern AI systems. Key figures like George Boole, Charles Babbage, and Ada Lovelace contributed significantly to these foundational concepts, setting the stage for the theoretical underpinnings of AI that have been built upon since then. Their work helped establish the principles of computation and logic that are essential for AI technologies today. Additionally, the contributions of Alan Turing, Claude Shannon, and others during this pre-computer era laid the groundwork for",0.2484,0.1961,1,0
original,15,global,What is the overall narrative arc of AI history?,"AI evolved from ancient myths and philosophical questions through mathematical foundations in the 19th-20th centuries, to formal establishment in 1956, through cycles of progress and disappointment, shifting from symbolic and rule-based approaches to statistical and neural methods, culminating in today's deep learning and large language models that are remarkably capable but still face fundamental challenges.","The overall narrative arc of AI history involves a series of ups and downs, starting with the informal beginnings in ancient mythology and science fiction, followed by the formal establishment of AI as a scientific discipline in the 1950s, then experiencing several periods of growth and decline due to various factors such as funding cuts, unrealistic expectations, and technological limitations. Key events include the Dartmouth Conference, the rise of machine learning, the collapse of expert systems, and the emergence of large language models like BERT and GPT. The story concludes with ongoing challenges and future directions focused on addressing issues related to bias, safety, and the ultimate goal",0.2454,0.2086,1,0
gmm,1,local,What was the Logic Theorist and who created it?,"The Logic Theorist was the first AI program, presented by Allen Newell and Herbert Simon at the 1956 Dartmouth Conference. It could prove mathematical theorems from Principia Mathematica.",The Logic Theorist was an artificial intelligence program created by Allen Newell and Herbert Simon at the Dartmouth Conference in 1956. It was considered the first artificial intelligence program capable of proving mathematical theorems from Whitehead and Russell's Principia Mathematica.,0.7059,0.6176,1,0
gmm,2,local,What caused the first AI winter?,"The first AI winter was caused by the failure of AI to scale beyond simple problems, disappointing results in machine translation, and the critical 1973 Lighthill Report that led to funding cuts from both the British government and DARPA.","The first AI winter occurred due to several factors including the failure of the Lighthill Report, which recommended reducing funding for AI research, and the disappointment with the outcomes of previous AI projects such as expert systems. Additionally, the stagnation of progress during this time led to a significant reduction in funding and interest in AI research. The report suggested that AI research had failed to achieve its grand objectives and recommended cutting funding, while the collapse of the expert systems boom further contributed to the decline in funding and public interest.",0.3053,0.2748,1,0
gmm,3,local,Why did expert systems fail in the late 1980s?,"Expert systems proved expensive to maintain, difficult to update, and brittle when facing situations outside their narrow domains. The specialized Lisp machines became obsolete as general-purpose desktops became more powerful.","Expert systems failed because they were expensive to maintain, difficult to update, and brittle when confronted with situations outside their narrow training domains. They became obsolete due to the rise of general-purpose desktop computers becoming more powerful and affordable. Additionally, the specialized Lisp machines used to run these systems became outdated.",0.642,0.5185,1,0
gmm,4,local,What was the significance of AlexNet in 2012?,"AlexNet was a deep convolutional neural network that won the ImageNet competition by a dramatic margin, proving that deep learning could vastly outperform traditional computer vision methods and triggering massive investment in the field.","AlexNet, developed by Alex Krizhevsky, Ilya Sutskever, and Geoffrey Hinton, won the ImageNet competition in 2012, demonstrating that deep neural networks could vastly outperform traditional computer vision methods. It marked a significant milestone in the history of deep learning and initiated a surge in research and investment into this field.",0.5952,0.4048,1,0
gmm,5,local,What is the Turing Test?,"The Turing Test, proposed by Alan Turing in 1950, asks whether machines can exhibit intelligent behavior indistinguishable from that of humans. It was introduced in his paper Computing Machinery and Intelligence.","The Turing Test is a test devised by Alan Turing in his 1950 paper ""Computing Machinery and Intelligence"" to determine if a machine exhibits intelligent behavior indistinguishable from that of humans around the same time as Claude Shannon established information theory, which provided the mathematical foundation for digital communication and computing. It involves a human evaluator trying to distinguish between a machine and a human conversing via teletype.",0.4444,0.3434,1,0
gmm,6,cross,How did neural network research evolve from the Perceptron to deep learning?,"Frank Rosenblatt invented the Perceptron in 1958, but Minsky and Papert's 1969 book showed its limitations, stalling research for over a decade. Neural networks revived through deep learning, culminating in AlexNet's 2012 ImageNet victory and the 2017 Transformer architecture.","Neural network research evolved significantly after the publication of ""Perceptrons"" in 1969, when single-layer neural networks faced limitations. The resurgence of neural networks under the banner of deep learning occurred in the 2010s, driven by advancements such as the use of deep convolutional neural networks like AlexNet, which won the ImageNet competition in 2012, demonstrating superior performance compared to traditional computer vision methods. This marked a significant shift towards machine learning and statistical approaches, replacing earlier hand-crafted rule-based systems. The evolution also saw the rise of support vector machines, random forests, and other",0.2424,0.1818,0,0
gmm,7,cross,Compare the two AI winters — what caused each and how long did they last?,"The first AI winter lasted from roughly 1974 to 1980, caused by the failure to scale beyond toy problems and the critical Lighthill Report. The second lasted from about 1987 to 1993, caused by the collapse of the expert systems market and the failure of Japan's Fifth Generation project.","The first AI winter lasted from 1974 to 1980, while the second AI winter occurred between 1987 and 1993. Both periods saw significant reductions in funding and public interest in AI research due to various factors including the failure of certain projects like the Fifth Generation Japanese project and the disappointment with the performance of expert systems. The first AI winter was primarily attributed to the lack of breakthroughs in solving complex problems such as machine translation, whereas the second AI winter was marked by the collapse of the expert systems boom and the recognition that AI research needed to evolve towards more practical and flexible methods",0.4231,0.3077,1,0
gmm,8,cross,How did government funding influence AI's progress and setbacks?,"DARPA funding fueled the golden years of AI in the 1960s and early 1970s. Funding cuts after the Lighthill Report caused the first AI winter. Government initiatives in the 1980s responded to Japan's Fifth Generation project, but DARPA again pulled back after expert systems failed, causing the second winter.","Government funding played a crucial role in AI's progress during the Golden Years of the 1950s and 1960s, driving rapid advancements such as the development of programs like the General Problem Solver and expert systems. However, this funding also led to significant setbacks, including the collapse of the expert systems boom in the 1980s due to high maintenance costs and difficulties in handling complex tasks beyond their initial training domains. Additionally, the reduction in funding after the Second AI Winter in the 1980s contributed to a decline in AI research and development efforts.",0.3521,0.2676,1,0
gmm,9,cross,What role did games play in AI history?,"Games were key milestones: Herbert Simon predicted a chess champion computer in 1957. IBM's Deep Blue beat Kasparov in 1997, forty years late. DeepMind's AlphaGo defeated Go champion Lee Sedol in 2016, a feat thought decades away.","Games played a significant role in the early days of AI, where they served as a testing ground for algorithms and techniques. For example, the game of Go was used to develop search algorithms, while chess was employed to test decision-making processes. Additionally, games like tic-tac-toe helped researchers understand basic strategies and patterns. The use of games in AI research allowed for the refinement of AI techniques and contributed to its growth and development.",0.1261,0.0901,0,0
gmm,10,cross,How did the approach to building AI systems shift from the 1980s to the 2000s?,"AI shifted from hand-coded expert systems with explicit rules in the 1980s to data-driven machine learning and statistical approaches in the 1990s-2000s, where computers learned patterns from large datasets rather than following human-specified rules.","From the 1980s to the 2000s, the approach to building AI systems shifted towards machine learning and statistical methods rather than hand-coded rules. The period from 1956 to 1974 is often called the golden years of AI research. Generous government funding, particularly from the U S Defense Advanced Research Projects Agency (DARPA), fueled rapid progress. Researchers developed programs that could solve algebra word problems, prove geometric theorems, and learn to speak English. The history of artificial intelligence traces its roots back thousands of years to ancient myths about artificial beings endowed with intelligence by",0.2812,0.1719,1,0
gmm,11,global,What recurring pattern do you see across the history of AI?,"AI history shows a recurring cycle of hype and disappointment. Periods of optimism and heavy funding are followed by unmet expectations and funding cuts. This happened with the initial promises of the 1950s-60s leading to the first winter, the expert systems boom leading to the second winter, and echoes in current concerns about large language models.","The recurring patterns in the history of AI include periods of rapid progress followed by setbacks, such as the golden age of AI research during the 1950s and 1960s, and the subsequent decline due to practical challenges like the combinatorial explosion problem and the difficulty of training complex models. Additionally, there have been shifts towards different methodologies, such as moving away from rule-based systems towards machine learning and statistical approaches starting in the 1990s. There also seems to be ongoing debates about ethical implications and safety concerns related to AI technology.",0.3401,0.2177,0,0
gmm,12,global,Summarize the major milestones in AI from the 1950s to the present.,"Key milestones include the 1956 Dartmouth Conference founding the field, the Perceptron in 1958, ELIZA in 1966, expert systems like MYCIN in the 1970s-80s, Deep Blue defeating Kasparov in 1997, AlexNet winning ImageNet in 2012, AlphaGo in 2016, and the Transformer architecture in 2017 enabling modern large language models.","The period from 1956 to 1974 is often referred to as the golden age of AI research due to generous government funding, which led to significant advancements such as the development of the General Problem Solver and the Logic Theorist. During this time, researchers like Allen Newell and Herbert Simon created formal methods for problem-solving and proof verification. However, by the mid-1970s, AI faced substantial challenges including the combinatorial explosion problem and difficulties in applying AI techniques to complex tasks like machine translation. The field experienced a downturn known as the First AI Winter in the late 198",0.1497,0.1224,0,0
gmm,13,global,What are the main challenges facing AI today?,"Current challenges include hallucination in language models, bias amplification from training data, enormous computational and environmental costs, questions about safety and alignment with human values, and the distant goal of artificial general intelligence.","Today, AI faces several significant challenges such as generating accurate information despite being prone to producing false statements, especially concerning historical events like the Lighthill Report, which criticized AI research for failing to meet its initial goals. Additionally, there are ongoing debates about the ethical implications of AI, including issues related to bias, privacy, and job displacement. Furthermore, the reliance on large language models poses new challenges, including the risk of generating misinformation and the need for improved methods to ensure the reliability and accuracy of AI-generated content. These challenges underscore the ongoing efforts to address the limitations and improve the capabilities of AI technologies.",0.1449,0.1159,0,0
gmm,14,global,How did the intellectual foundations laid before computers influence later AI?,Boole's algebra provided the framework for logical reasoning in computers. Babbage and Lovelace established the concept of programmable computation. Turing formalized computation theory and proposed the Turing Test. Shannon's information theory underpinned digital computing. All of these directly shaped how AI researchers approached building intelligent machines.,"The intellectual foundations laid by mathematicians and logicians before computers influenced later AI by providing a mathematical framework for logical reasoning and computational methods, which were crucial for the development of AI algorithms and systems. Key figures like George Boole, Charles Babbage, and Ada Lovelace contributed significantly to these foundational areas, laying the groundwork for AI's theoretical underpinnings. Their work on Boolean algebra, the design of the Analytical Engine, and the creation of the first computer program demonstrated how abstract concepts and logical operations could be applied to create sophisticated computational devices capable of performing complex tasks. This legacy continues to inform modern AI research, where techniques",0.2353,0.1961,1,0
gmm,15,global,What is the overall narrative arc of AI history?,"AI evolved from ancient myths and philosophical questions through mathematical foundations in the 19th-20th centuries, to formal establishment in 1956, through cycles of progress and disappointment, shifting from symbolic and rule-based approaches to statistical and neural methods, culminating in today's deep learning and large language models that are remarkably capable but still face fundamental challenges.","The history of artificial intelligence spans several decades, beginning with the informal conceptization of AI in the 1950s, followed by the golden age of AI research from 1956 to 1974, marked by substantial progress and optimism. This era was supported by generous government funding, particularly from DARPA, leading to groundbreaking achievements such as the creation of the General Problem Solver and the Logic Theorist. However, this period was not without setbacks; the Second AI Winter occurred during the mid-1980s, when AI research faced major obstacles due to technical limitations and financial constraints. Following the",0.1745,0.1342,0,0
leiden,1,local,What was the Logic Theorist and who created it?,"The Logic Theorist was the first AI program, presented by Allen Newell and Herbert Simon at the 1956 Dartmouth Conference. It could prove mathematical theorems from Principia Mathematica.",The Logic Theorist was an artificial intelligence program created by Allen Newell and Herbert Simon at the Dartmouth Conference in 1956. It was considered the first artificial intelligence program capable of proving mathematical theorems from Whitehead and Russell's Principia Mathematica.,0.7059,0.6176,1,0
leiden,2,local,What caused the first AI winter?,"The first AI winter was caused by the failure of AI to scale beyond simple problems, disappointing results in machine translation, and the critical 1973 Lighthill Report that led to funding cuts from both the British government and DARPA.","The first AI winter occurred due to several factors including the failure of the Lighthill Report, which recommended reducing funding for AI research; the disappointment with the outcomes of AI projects such as the Expert Systems Boom collapsing in the late 1980s and early 1990s; and the obsolescence of specialized Lisp machines used for running expert systems as general-purpose desktop computers became more powerful and affordable. Additionally, the high cost of maintaining and updating these systems made them less viable compared to other technologies. The reduction in funding during this time led to a decrease in public interest and investment in AI research, contributing to the",0.2621,0.1931,1,0
leiden,3,local,Why did expert systems fail in the late 1980s?,"Expert systems proved expensive to maintain, difficult to update, and brittle when facing situations outside their narrow domains. The specialized Lisp machines became obsolete as general-purpose desktops became more powerful.","Expert systems failed because they were expensive to maintain, difficult to update, and brittle when confronted with situations outside their narrow training domains. They became obsolete due to the rise of general-purpose desktop computers becoming more powerful and affordable. Additionally, the specialized Lisp machines used to run these systems became outdated.",0.642,0.5185,1,0
leiden,4,local,What was the significance of AlexNet in 2012?,"AlexNet was a deep convolutional neural network that won the ImageNet competition by a dramatic margin, proving that deep learning could vastly outperform traditional computer vision methods and triggering massive investment in the field.","AlexNet, developed by Alex Krizhevsky, Ilya Sutskever, and Geoffrey Hinton, won the ImageNet competition in 2012, demonstrating that deep neural networks could vastly outperform traditional computer vision methods. It sparked an explosion of research and investment in deep learning.",0.5753,0.4658,1,0
leiden,5,local,What is the Turing Test?,"The Turing Test, proposed by Alan Turing in 1950, asks whether machines can exhibit intelligent behavior indistinguishable from that of humans. It was introduced in his paper Computing Machinery and Intelligence.","The Turing Test is a test devised by Alan Turing in his 1950 paper ""Computing Machinery and Intelligence."" It asks whether machines can exhibit intelligent behavior indistinguishable from that of humans.",0.871,0.6452,1,0
leiden,6,cross,How did neural network research evolve from the Perceptron to deep learning?,"Frank Rosenblatt invented the Perceptron in 1958, but Minsky and Papert's 1969 book showed its limitations, stalling research for over a decade. Neural networks revived through deep learning, culminating in AlexNet's 2012 ImageNet victory and the 2017 Transformer architecture.","Neural network research evolved from the Perceptron, which was introduced by Frank Rosenblatt in 1958, to deep learning, which emerged under the banner of deep convolutional neural networks in 2012, after a resurgence of neural networks during the 1990s and 2000s. The development of deep learning was driven by the availability of large datasets and increased computational power, making it possible to train complex models capable of recognizing intricate patterns in images and text. This transformation marked a significant shift towards data-driven methods and statistical approaches in AI research.",0.2656,0.1719,0,0
leiden,7,cross,Compare the two AI winters — what caused each and how long did they last?,"The first AI winter lasted from roughly 1974 to 1980, caused by the failure to scale beyond toy problems and the critical Lighthill Report. The second lasted from about 1987 to 1993, caused by the collapse of the expert systems market and the failure of Japan's Fifth Generation project.","The first AI winter lasted from 1974 to 1980, while the second AI winter occurred between 1987 and 1993. Both periods saw reductions in funding and decreased public interest in AI research due to various factors such as the failure of certain projects like the Fifth Generation Japanese computer system and the stagnation of AI research during this time. The first AI winter was primarily attributed to the lack of progress made in solving complex problems like machine translation, whereas the second AI winter was marked by the collapse of expert systems and the shift towards machine learning and statistical approaches.",0.4267,0.3067,1,0
leiden,8,cross,How did government funding influence AI's progress and setbacks?,"DARPA funding fueled the golden years of AI in the 1960s and early 1970s. Funding cuts after the Lighthill Report caused the first AI winter. Government initiatives in the 1980s responded to Japan's Fifth Generation project, but DARPA again pulled back after expert systems failed, causing the second winter.","Government funding influenced AI's progress and setbacks significantly during different periods. During the Golden Years of AI research (1956-1974), generous government funding, particularly from the US Defense Advanced Research Projects Agency (DARPA), fueled rapid progress. However, after the First AI Winter (roughly 1974-1980) due to reduced funding and waning interest, AI faced obstacles such as the combinatorial explosion problem and fundamental limitations of single-layer neural networks. The Second AI Winter (roughly 1987-1993) saw another reduction in funding and public",0.3594,0.25,1,0
leiden,9,cross,What role did games play in AI history?,"Games were key milestones: Herbert Simon predicted a chess champion computer in 1957. IBM's Deep Blue beat Kasparov in 1997, forty years late. DeepMind's AlphaGo defeated Go champion Lee Sedol in 2016, a feat thought decades away.","Games played a significant role in the development of AI, particularly in the form of game-playing algorithms such as those used in the game of Go. For example, the AlphaGo system developed by Google DeepMind uses a combination of Monte Carlo tree search and convolutional neural networks to play the complex strategy game of Go. This demonstrates how AI can excel at tasks requiring pattern recognition and strategic thinking, even against opponents that have been trained specifically to defeat them. Additionally, games like Chess and Checkers have been crucial in testing and refining AI algorithms due to their deterministic nature and well-defined rules, allowing researchers to observe and analyze the performance of different strategies",0.1192,0.0927,0,0
leiden,10,cross,How did the approach to building AI systems shift from the 1980s to the 2000s?,"AI shifted from hand-coded expert systems with explicit rules in the 1980s to data-driven machine learning and statistical approaches in the 1990s-2000s, where computers learned patterns from large datasets rather than following human-specified rules.","From the 1980s to the 2000s, the approach to building AI systems shifted towards machine learning and statistical approaches rather than hand-coded rules. Key figures like Marvin Minsky and Seymour Papert contributed significantly to this change, demonstrating fundamental limitations of single-layer neural networks in 1969, which effectively stalled neural network research for over a decade. The rise of machine learning and statistical approaches marked a significant departure from earlier methodologies, leading to substantial advancements in areas such as natural language processing, image recognition, and predictive analytics.",0.3333,0.2,1,0
leiden,11,global,What recurring pattern do you see across the history of AI?,"AI history shows a recurring cycle of hype and disappointment. Periods of optimism and heavy funding are followed by unmet expectations and funding cuts. This happened with the initial promises of the 1950s-60s leading to the first winter, the expert systems boom leading to the second winter, and echoes in current concerns about large language models.","The recurring pattern in the history of AI is the alternating between periods of intense growth and decline, known as winters and summers. During the golden years, there was rapid progress and investment, followed by setbacks like the first AI winter, which led to a reevaluation of the field and redirection of resources towards more practical areas. The optimism during the golden years was exceptional, with predictions of groundbreaking achievements being made, yet these were later found to be overly optimistic. The field experienced a downturn in the second AI winter, marked by the collapse of expert systems and the rise of machine learning, which shifted focus away from rule-based systems and towards more data",0.3509,0.2105,0,0
leiden,12,global,Summarize the major milestones in AI from the 1950s to the present.,"Key milestones include the 1956 Dartmouth Conference founding the field, the Perceptron in 1958, ELIZA in 1966, expert systems like MYCIN in the 1970s-80s, Deep Blue defeating Kasparov in 1997, AlexNet winning ImageNet in 2012, AlphaGo in 2016, and the Transformer architecture in 2017 enabling modern large language models.","Major milestones in AI from the 1950s to the present include the establishment of the field at the Dartmouth Conference in 1956, the development of the Logic Theorist in 1969, the publication of ""Perceptrons"" in 1969 demonstrating limitations of single-layer neural networks, the collapse of the expert systems boom in the late 1980s and early 1990s, and the resurgence of AI in the 1990s and 2000s due to machine learning and statistical approaches. Key figures include John",0.3333,0.254,0,0
leiden,13,global,What are the main challenges facing AI today?,"Current challenges include hallucination in language models, bias amplification from training data, enormous computational and environmental costs, questions about safety and alignment with human values, and the distant goal of artificial general intelligence.","Today, AI faces significant challenges such as generating fluent but factually incorrect text, a problem known as hallucination, and the need for larger amounts of data to train models accurately. Additionally, there are concerns about bias in AI systems and the potential risks of increasingly autonomous systems. Furthermore, the development of artificial general intelligence remains a long-term aspiration rather than a near-term expectation. Lastly, despite remarkable progress, AI still struggles with issues like the combinatorial explosion problem and the difficulty in scaling up AI solutions to handle real-world complexities.",0.2623,0.1639,1,0
leiden,14,global,How did the intellectual foundations laid before computers influence later AI?,Boole's algebra provided the framework for logical reasoning in computers. Babbage and Lovelace established the concept of programmable computation. Turing formalized computation theory and proposed the Turing Test. Shannon's information theory underpinned digital computing. All of these directly shaped how AI researchers approached building intelligent machines.,"The intellectual foundations laid by mathematicians and logicians before computers influenced later AI by providing a mathematical framework for logical reasoning and computational thinking, which were crucial for the development of algorithms and programming languages used in modern AI systems. Key figures like George Boole, Charles Babbage, and Ada Lovelace contributed significantly to these foundational concepts. Their work on Boolean algebra, the design of the Analytical Engine, and the creation of the first computer program for the engine set the stage for the theoretical underpinnings of AI. Additionally, the formalization of computation by Alan Turing and the establishment of information theory by Claude Shannon further advanced the field",0.2857,0.2208,1,0
leiden,15,global,What is the overall narrative arc of AI history?,"AI evolved from ancient myths and philosophical questions through mathematical foundations in the 19th-20th centuries, to formal establishment in 1956, through cycles of progress and disappointment, shifting from symbolic and rule-based approaches to statistical and neural methods, culminating in today's deep learning and large language models that are remarkably capable but still face fundamental challenges.","The overall narrative arc of AI history involves a series of ups and downs, starting with the informal study of AI in the 1950s, followed by the golden age of AI research from 1956 to 1974, then the first AI winter from 1987 to 1993, and finally the resurgence of machine learning and deep learning in the 1990s and 2000s. The story also includes the rise and fall of expert systems, the impact of data-driven methods, and ongoing debates about ethical considerations such as bias, safety, and",0.2535,0.1549,0,0
